date~forecast~lower~upper
2030-04-01~605.2343776255577~605.0501840953644~605.4186272292097
2030-05-01~609.9144104395482~609.5002489081272~610.328853397883
2030-06-01~615.3176003246707~614.6191086170322~616.0168858420993
2030-07-01~619.9958636960957~618.966284756079~621.0271552217894
2030-08-01~625.4862473737102~624.0806161235704~626.8950445597249
2030-09-01~629.711974363771~627.8926149101062~631.5366055290997
2030-10-01~634.9294719617562~632.6552232437224~637.2118960761852
2030-11-01~640.2357337187623~637.4687999861218~643.0146773290328
2030-12-01~644.5512303732204~641.260303676435~647.8590459971099
2031-01-01~649.855794196464~646.0012100652517~653.7333780041369
